,complexity,loss,equation,score,sympy_format,TRAIN_RMSE,TEST_RMSE,TRAIN_MAE,TEST_MAE,TRAIN_R2,TEST_R2,TRAIN_BFE,TEST_BFE,sympy_eq
10,30,3.8018968,(Np * 0.1316254) - (((((((0.5504825 * DST) - Bmag) + Vp) * (3.30009 + ((sqrt(Np) * Bzsouth) + Bzsouth))) * -0.010745671) - DST) * ((0.14023353 / Bmag) + -0.08236732)),0.0002248634770026,(Np * 0.1316254) - (((((((0.5504825 * DST) - Bmag) + Vp) * (3.30009 + ((sqrt(Np) * Bzsouth) + Bzsouth))) * -0.010745671) - DST) * ((0.14023353 / Bmag) + -0.08236732)),14.596264150943396,16.051299999999998,11.08977358490566,12.035900000000002,0.7241132075471697,0.7552999999999999,16.66024528301887,18.94765,0.1316254*Np - (-0.08236732 + 0.14023353/Bmag)*(-DST - 0.010745671*(-Bmag + 0.5504825*DST + Vp)*(Bzsouth*sqrt(Np) + Bzsouth + 3.30009))
11,29,3.802281,(((sqrt(sqrt(Bzsouth) + Np) * ((Vp - Np) - (DST * (-3.2089617 / sqrt(Np))))) * (Bzsouth * -0.0009065264)) + sqrt(Np)) - ((DST * 0.060239356) - -2.4211862),0.0002039149328306,(((sqrt(sqrt(Bzsouth) + Np) * ((Vp - Np) - (DST * (-3.2089617 / sqrt(Np))))) * (Bzsouth * -0.0009065264)) + sqrt(Np)) - ((DST * 0.060239356) - -2.4211862),14.61881132075472,18.589450000000003,11.235679245283018,14.692850000000002,0.7141698113207549,0.6254500000000001,16.367622641509435,20.624899999999997,-0.0009065264*Bzsouth*sqrt(sqrt(Bzsouth) + Np)*(3.2089617*DST/sqrt(Np) - Np + Vp) - 0.060239356*DST + sqrt(Np) - 2.4211862
12,29,3.8024962,(Np * 0.120446585) - ((((((Bzsouth * (((Vp - Np) * 0.00012573834) * (Np + (DST * 0.0364781)))) + Bzsouth) + 1.2775543) * Vp) * 0.0017270576) + (DST * 0.066715226)),0.0001680455612546,(Np * 0.120446585) - ((((((Bzsouth * (((Vp - Np) * 0.00012573834) * (Np + (DST * 0.0364781)))) + Bzsouth) + 1.2775543) * Vp) * 0.0017270576) + (DST * 0.066715226)),14.107320754716984,15.837100000000001,10.836320754716983,12.18265,0.7396981132075472,0.7415,16.308943396226415,18.92795,-0.066715226*DST + 0.120446585*Np - 0.0017270576*Vp*(Bzsouth*(0.0364781*DST + Np)*(-0.00012573834*Np + 0.00012573834*Vp) + Bzsouth + 1.2775543)
13,22,3.8026335,((DST * -0.06727313) + (((Bzsouth * ((Vp + -174.75798) * 0.0015818799)) - 1.034009) * ((DST * -0.005260706) - sqrt(Np)))) + -2.5840185,0.0019712271852321,((DST * -0.06727313) + (((Bzsouth * ((Vp + -174.75798) * 0.0015818799)) - 1.034009) * ((DST * -0.005260706) - sqrt(Np)))) + -2.5840185,14.42607547169811,18.4029,10.969849056603774,14.536749999999998,0.7206037735849058,0.6357,16.051396226415097,21.03085,-0.06727313*DST + (-0.005260706*DST - sqrt(Np))*(Bzsouth*(0.0015818799*Vp - 0.276446135926602) - 1.034009) - 2.5840185
14,25,3.8028028,((((((0.0009415376 / (-1.3535208 - Np)) * DST) - 0.052350152) * Bzsouth) * Vp) - (DST - Np)) / (54.41149 / sqrt(sqrt(Bmag * Np))),0.0011124270138132,((((((0.0009415376 / (-1.3535208 - Np)) * DST) - 0.052350152) * Bzsouth) * Vp) - (DST - Np)) / (54.41149 / sqrt(sqrt(Bmag * Np))),15.295792452830186,16.2066,11.788867924528304,12.47295,0.6780566037735847,0.7198499999999999,17.028188679245282,18.403550000000003,0.018378471164822*(Bmag*Np)**(1/4)*(Bzsouth*Vp*(0.0009415376*DST/(-Np - 1.3535208) - 0.052350152) - DST + Np)
15,28,3.80297,(DST * -0.064616404) - ((((DST + ((Np + Vp) * sqrt(sqrt(Np)))) * 0.0024087143) * (Bzsouth + 0.4273629)) - ((sqrt(Np) + -1.8449583) + (Bzsouth / 1.6374866))),0.0004688130633409,(DST * -0.064616404) - ((((DST + ((Np + Vp) * sqrt(sqrt(Np)))) * 0.0024087143) * (Bzsouth + 0.4273629)) - ((sqrt(Np) + -1.8449583) + (Bzsouth / 1.6374866))),14.675132075471701,18.31485,11.083037735849055,13.83645,0.7289245283018868,0.6818500000000001,16.851924528301886,22.286299999999997,0.610692020319433*Bzsouth - 0.064616404*DST + sqrt(Np) - (Bzsouth + 0.4273629)*(0.0024087143*DST + 0.0024087143*Np**(1/4)*(Np + Vp)) - 1.8449583
16,24,3.803444,sqrt(Np) + ((-2.5109081 - (DST / 15.338169)) + ((Bzsouth * (((DST / 0.80311114) + (sqrt(sqrt(Np)) * Vp)) + -251.51936)) * -0.0025929885)),0.0002683031889028,sqrt(Np) + ((-2.5109081 - (DST / 15.338169)) + ((Bzsouth * (((DST / 0.80311114) + (sqrt(sqrt(Np)) * Vp)) + -251.51936)) * -0.0025929885)),14.703320754716982,18.5649,11.226132075471696,14.4762,0.7251320754716981,0.63685,16.786754716981132,21.9859,-0.0025929885*Bzsouth*(1.24515767518802*DST + Np**(1/4)*Vp - 251.51936) - 0.0651968302083515*DST + sqrt(Np) - 2.5109081
17,28,3.803607,(Np * 0.13241021) - ((((((DST * 0.751603) + Vp) * -0.010745671) * ((Bzsouth + (sqrt(Np) * Bzsouth)) + 3.30009)) - DST) * ((0.14686304 / Bmag) + -0.08236732)),0.0002497268393607,(Np * 0.13241021) - ((((((DST * 0.751603) + Vp) * -0.010745671) * ((Bzsouth + (sqrt(Np) * Bzsouth)) + 3.30009)) - DST) * ((0.14686304 / Bmag) + -0.08236732)),14.39081132075472,15.491549999999998,10.977924528301886,11.717,0.7297735849056604,0.7604,16.27230188679245,18.1976,0.13241021*Np - (-0.08236732 + 0.14686304/Bmag)*(-DST + (-0.008076478560613*DST - 0.010745671*Vp)*(Bzsouth*sqrt(Np) + Bzsouth + 3.30009))
18,27,3.8037744,(Np * 0.120446585) - (((((Bzsouth + 1.2775543) + ((((Np + (DST * 0.03913002)) * Bzsouth) * Vp) * 0.00012573834)) * Vp) * 0.0017270576) + (DST * 0.066715226)),0.0017587846133973,(Np * 0.120446585) - (((((Bzsouth + 1.2775543) + ((((Np + (DST * 0.03913002)) * Bzsouth) * Vp) * 0.00012573834)) * Vp) * 0.0017270576) + (DST * 0.066715226)),14.042471698113209,15.667499999999999,10.789000000000001,12.073400000000001,0.7402075471698113,0.7449000000000001,16.137679245283014,18.596849999999996,-0.066715226*DST + 0.120446585*Np - 0.0017270576*Vp*(0.00012573834*Bzsouth*Vp*(0.03913002*DST + Np) + Bzsouth + 1.2775543)
19,27,3.803832,(((Vp - ((DST * -3.3773615) / sqrt(Np))) * ((Bzsouth * -0.0009008908) * sqrt(sqrt(Bzsouth) + Np))) + sqrt(Np)) - ((DST * 0.059813313) - -2.40653),0.0009301026332216,(((Vp - ((DST * -3.3773615) / sqrt(Np))) * ((Bzsouth * -0.0009008908) * sqrt(sqrt(Bzsouth) + Np))) + sqrt(Np)) - ((DST * 0.059813313) - -2.40653),14.654301886792451,18.623849999999997,11.255830188679246,14.681049999999999,0.7089433962264151,0.627,16.292150943396226,20.57125,-0.0009008908*Bzsouth*sqrt(sqrt(Bzsouth) + Np)*(3.3773615*DST/sqrt(Np) + Vp) - 0.059813313*DST + sqrt(Np) - 2.40653
20,30,3.8038595,((DST - (Np * 1.8461952)) * -0.057646163) + ((Bzsouth - -0.64244246) * (-0.0024093296 * ((sqrt(Bmag / Np) * DST) + (Vp + ((Np + 0.86304104) * (-1.671706 + Bzsouth)))))),8.309635695075422e-05,((DST - (Np * 1.8461952)) * -0.057646163) + ((Bzsouth - -0.64244246) * (-0.0024093296 * ((sqrt(Bmag / Np) * DST) + (Vp + ((Np + 0.86304104) * (-1.671706 + Bzsouth)))))),14.662283018867925,17.35955,11.190905660377357,12.639100000000001,0.715679245283019,0.6918000000000001,17.150433962264156,20.797949999999997,-0.057646163*DST + 0.106426069429018*Np + (Bzsouth + 0.64244246)*(-0.0024093296*DST*sqrt(Bmag/Np) - 0.0024093296*Vp - 0.0024093296*(Bzsouth - 1.671706)*(Np + 0.86304104))
21,30,3.8041306,((((Vp + (((DST + (Vp * 0.011505068)) / sqrt(Np / Bmag)) + (Np * Bzsouth))) * ((Bzsouth + 0.6831873) * 0.040499095)) + DST) - (Np + Np)) * -0.05831824,7.055239690763662e-05,((((Vp + (((DST + (Vp * 0.011505068)) / sqrt(Np / Bmag)) + (Np * Bzsouth))) * ((Bzsouth + 0.6831873) * 0.040499095)) + DST) - (Np + Np)) * -0.05831824,14.695509433962263,17.35415,11.221339622641509,12.698049999999999,0.7137169811320755,0.69215,17.113169811320752,20.6247,-0.05831824*DST + 0.11663648*Np - 0.05831824*(0.040499095*Bzsouth + 0.0276684673654935)*(Bzsouth*Np + Vp + (DST + 0.011505068*Vp)/sqrt(Np/Bmag))
22,29,3.8041756,((DST - ((Np - inv(Np)) * 1.9725796)) * -0.057907775) + ((Bzsouth - -0.6430652) * (((Np * Bzsouth) + (Vp + (sqrt(Bmag / Np) * DST))) * -0.0023896287)),0.0001413872626677,((DST - ((Np - inv(Np)) * 1.9725796)) * -0.057907775) + ((Bzsouth - -0.6430652) * (((Np * Bzsouth) + (Vp + (sqrt(Bmag / Np) * DST))) * -0.0023896287)),14.669566037735848,18.06315,11.185509433962267,13.372400000000003,0.7146792452830187,0.6559,17.084396226415095,21.104149999999997,-0.057907775*DST + 0.11422769564639*Np + (Bzsouth + 0.6430652)*(-0.0023896287*Bzsouth*Np - 0.0023896287*DST*sqrt(Bmag/Np) - 0.0023896287*Vp) - 0.11422769564639/Np
23,29,3.804399,(((((Np * square(Bzsouth)) + ((((DST + 5.0280237) / sqrt(Np / Bmag)) + Vp) * (Bzsouth + 0.6888091))) * 0.040499095) + DST) - (Np + Np)) * -0.05831824,3.711424058066723e-05,(((((Np * square(Bzsouth)) + ((((DST + 5.0280237) / sqrt(Np / Bmag)) + Vp) * (Bzsouth + 0.6888091))) * 0.040499095) + DST) - (Np + Np)) * -0.05831824,14.664754716981134,17.3716,11.20798113207547,12.72,0.7154905660377359,0.69,17.19266037735849,20.7766,-0.05831824*DST - 0.0023618359419928*Np*square(Bzsouth) + 0.11663648*Np - 0.0023618359419928*(Bzsouth + 0.6888091)*(Vp + (DST + 5.0280237)/sqrt(Np/Bmag))
24,28,3.8045402,((((((Np * Bzsouth) + (((DST + 5.0280237) / sqrt(Np / Bmag)) + Vp)) * (Bzsouth + 0.6888091)) * 0.040499095) + DST) - (Np + Np)) * -0.05831824,9.889835985283752e-05,((((((Np * Bzsouth) + (((DST + 5.0280237) / sqrt(Np / Bmag)) + Vp)) * (Bzsouth + 0.6888091)) * 0.040499095) + DST) - (Np + Np)) * -0.05831824,14.697490566037734,17.3992,11.219943396226416,12.74085,0.7133584905660376,0.6907000000000001,17.12932075471698,20.672249999999995,-0.05831824*DST + 0.11663648*Np - 0.0023618359419928*(Bzsouth + 0.6888091)*(Bzsouth*Np + Vp + (DST + 5.0280237)/sqrt(Np/Bmag))
25,29,3.8046286,(sqrt(Np) - 2.4867167) + ((DST + (((((((DST / Np) + Vp) - (Np + (DST * -0.4807411))) * 0.02141898) - 2.4179542) * Bzsouth) * sqrt(Np))) * -0.06262474),0.0003505289357251,(sqrt(Np) - 2.4867167) + ((DST + (((((((DST / Np) + Vp) - (Np + (DST * -0.4807411))) * 0.02141898) - 2.4179542) * Bzsouth) * sqrt(Np))) * -0.06262474),14.69945283018868,19.5417,11.183283018867924,15.216550000000003,0.7218113207547169,0.634,16.594037735849057,22.8404,-0.06262474*Bzsouth*sqrt(Np)*(0.010296984006078*DST + 0.02141898*DST/Np - 0.02141898*Np + 0.02141898*Vp - 2.4179542) - 0.06262474*DST + sqrt(Np) - 2.4867167
