complexity,loss,equation,score,sympy_format,lambda_format,simulation,TEST_RMSE,TEST_MAE,TEST_R2,TEST_CC,TEST_BFE
14,3.85216,((sqrt(P_dyn) + 0.33966643) * (((P_dyn + -33.732994) * DST) - VBs)) * 0.0010491671,0.0005755792392962,((sqrt(P_dyn) + 0.33966643) * (((P_dyn + -33.732994) * DST) - VBs)) * 0.0010491671,PySRFunction(X=>((sqrt(P_dyn) + 0.33966643) * (((P_dyn + -33.732994) * DST) - VBs)) * 0.0010491671),37,25.061304767817965,18.04351442211104,0.587950996888952,0.8951274287773374,30.806108416499978
14,3.85216,(((DST * (33.72132 - P_dyn)) + VBs) * -0.0010490887) * (sqrt(P_dyn) + 0.3395469),0.0005757218520508,(((DST * (33.72132 - P_dyn)) + VBs) * -0.0010490887) * (sqrt(P_dyn) + 0.3395469),PySRFunction(X=>(((DST * (33.72132 - P_dyn)) + VBs) * -0.0010490887) * (sqrt(P_dyn) + 0.3395469)),16,25.0702317315562,18.050113080994354,0.5877849533663105,0.895123837844259,30.813526967114473
14,3.85216,(((33.612244 - P_dyn) * DST) + VBs) * (-0.0010455331 * (sqrt(P_dyn) + 0.35421452)),0.0005757866760168,(((33.612244 - P_dyn) * DST) + VBs) * (-0.0010455331 * (sqrt(P_dyn) + 0.35421452)),PySRFunction(X=>(((33.612244 - P_dyn) * DST) + VBs) * (-0.0010455331 * (sqrt(P_dyn) + 0.35421452))),45,25.077425959647606,18.042895170841025,0.5885591229165009,0.8954374561600037,30.803317958277
14,3.852194,((sqrt(P_dyn) + 0.3259888) * -0.001056589) * ((DST * (33.774105 - P_dyn)) + VBs),0.0005712180094701,((sqrt(P_dyn) + 0.3259888) * -0.001056589) * ((DST * (33.774105 - P_dyn)) + VBs),PySRFunction(X=>((sqrt(P_dyn) + 0.3259888) * -0.001056589) * ((DST * (33.774105 - P_dyn)) + VBs)),19,25.109370640288276,18.081462907012167,0.5863439052460837,0.8949042200543772,30.852375196993968
15,3.8537657,((VBs / 3.6586514) - ((sqrt(P_dyn) + -10.052774) * DST)) * (sqrt(P_dyn) * -0.0044140317),0.0009843443168993,((VBs / 3.6586514) - ((sqrt(P_dyn) + -10.052774) * DST)) * (sqrt(P_dyn) * -0.0044140317),PySRFunction(X=>((VBs / 3.6586514) - ((sqrt(P_dyn) + -10.052774) * DST)) * (sqrt(P_dyn) * -0.0044140317)),21,25.151243302013913,18.629823712669108,0.5479786927562278,0.8812999308118818,30.178116705148835
12,3.853892,((VBs * -0.001198387) + (DST / (-23.719587 - P_dyn))) * sqrt(P_dyn),0.0034331687945248,((VBs * -0.001198387) + (DST / (-23.719587 - P_dyn))) * sqrt(P_dyn),PySRFunction(X=>((VBs * -0.001198387) + (DST / (-23.719587 - P_dyn))) * sqrt(P_dyn)),6,25.40241400922743,18.754956617214773,0.5448805466215942,0.8809234692975105,30.591716957322227
12,3.8538957,((VBs * -0.0011986274) + (DST / (-23.726454 - P_dyn))) * sqrt(P_dyn),0.0034325707506068,((VBs * -0.0011986274) + (DST / (-23.726454 - P_dyn))) * sqrt(P_dyn),PySRFunction(X=>((VBs * -0.0011986274) + (DST / (-23.726454 - P_dyn))) * sqrt(P_dyn)),14,25.410555977255644,18.76110960266694,0.5447042046735422,0.8809172097582352,30.59633606831823
12,3.8538764,sqrt(P_dyn) * ((DST / (-23.789778 - P_dyn)) + (VBs * -0.0011966889)),0.0034372166587549,sqrt(P_dyn) * ((DST / (-23.789778 - P_dyn)) + (VBs * -0.0011966889)),PySRFunction(X=>sqrt(P_dyn) * ((DST / (-23.789778 - P_dyn)) + (VBs * -0.0011966889))),41,25.42081099914966,18.771709205475396,0.5442998043808531,0.8807928515811572,30.602059583680454
27,3.8233924,((-0.0022994706 * VBs) + (((VBs * -7.448227e-6) + -0.052733794) * (DST - ((P_dyn - ((-0.90317696 / -0.3333332) / P_dyn)) * ((-0.000990027 * VBs) - -1.1893845))))) / 0.9642014,0.0001488508682209,((-0.0022994706 * VBs) + (((VBs * -7.448227e-6) + -0.052733794) * (DST - ((P_dyn - ((-0.90317696 / -0.3333332) / P_dyn)) * ((-0.000990027 * VBs) - -1.1893845))))) / 0.9642014,PySRFunction(X=>((-0.0022994706 * VBs) + (((VBs * -7.448227e-6) + -0.052733794) * (DST - ((P_dyn - ((-0.90317696 / -0.3333332) / P_dyn)) * ((-0.000990027 * VBs) - -1.1893845))))) / 0.9642014),53,25.615335593987112,18.86395172980684,-0.1313346015756882,0.7273679743454275,28.707984944961016
15,3.8479311,((((P_dyn * 0.00155389) + 0.02914047) * VBs) + DST) / (-11.74718 - (9.407214 / P_dyn)),8.29242419698909e-05,((((P_dyn * 0.00155389) + 0.02914047) * VBs) + DST) / (-11.74718 - (9.407214 / P_dyn)),PySRFunction(X=>((((P_dyn * 0.00155389) + 0.02914047) * VBs) + DST) / (-11.74718 - (9.407214 / P_dyn))),41,26.42356850985869,19.53549346026371,0.5253210849488357,0.8777850810907528,31.14621637168245
