,complexity,loss,equation,score,sympy_format,TRAIN_RMSE,TEST_RMSE,TRAIN_MAE,TEST_MAE,TRAIN_R2,TEST_R2,TRAIN_BFE,TEST_BFE,sympy_eq
167,20,3.8066697,(((VBs * sqrt(P_dyn + 2.2925646)) + (DST * sqrt(VBs + 2008.2195))) * -0.0012233779) + (sqrt(P_dyn) - 1.3660413),0.0016150423401347,(((VBs * sqrt(P_dyn + 2.2925646)) + (DST * sqrt(VBs + 2008.2195))) * -0.0012233779) + (sqrt(P_dyn) - 1.3660413),inf,inf,inf,inf,-inf,-inf,inf,inf,-0.0012233779*DST*sqrt(VBs + 2008.2195) - 0.0012233779*VBs*sqrt(P_dyn + 2.2925646) + sqrt(P_dyn) - 1.3660413
168,24,3.8067105,square(0.90664357 - (square(-0.12774067) * ((VBs * -0.005162023) + DST))) + ((((VBs * -0.0011921268) + 0.93713945) * (sqrt(P_dyn) + 0.5281768)) + -2.3251083),1.0008591232970549e-05,square(0.90664357 - (square(-0.12774067) * ((VBs * -0.005162023) + DST))) + ((((VBs * -0.0011921268) + 0.93713945) * (sqrt(P_dyn) + 0.5281768)) + -2.3251083),inf,inf,inf,inf,-inf,-inf,inf,inf,(0.93713945 - 0.0011921268*VBs)*(sqrt(P_dyn) + 0.5281768) + square(-(DST - 0.005162023*VBs)*square(-0.12774067) + 0.90664357) - 2.3251083
169,24,3.8067281,(((DST - P_dyn) * -0.059934855) - (((VBs * 0.0013622483) + -1.2568864) * (((P_dyn - DST) * -0.005703963) + sqrt(P_dyn + 1.2069837)))) + -2.2817807,0.0001321520068362,(((DST - P_dyn) * -0.059934855) - (((VBs * 0.0013622483) + -1.2568864) * (((P_dyn - DST) * -0.005703963) + sqrt(P_dyn + 1.2069837)))) + -2.2817807,inf,inf,inf,inf,-inf,-inf,inf,inf,-0.059934855*DST + 0.059934855*P_dyn - (0.0013622483*VBs - 1.2568864)*(0.005703963*DST - 0.005703963*P_dyn + sqrt(P_dyn + 1.2069837)) - 2.2817807
170,23,3.8067486,square(0.90664357 - (((VBs * -0.005162023) + DST) * 0.016347332)) + ((((VBs * -0.0011921268) + 0.93713945) * (sqrt(P_dyn) + 0.5281768)) + -2.3251083),0.003377649067839,square(0.90664357 - (((VBs * -0.005162023) + DST) * 0.016347332)) + ((((VBs * -0.0011921268) + 0.93713945) * (sqrt(P_dyn) + 0.5281768)) + -2.3251083),inf,inf,inf,inf,-inf,-inf,inf,inf,(0.93713945 - 0.0011921268*VBs)*(sqrt(P_dyn) + 0.5281768) + square(-0.016347332*DST + 8.4385303772636e-5*VBs + 0.90664357) - 2.3251083
171,28,3.8067803,(((P_dyn - -10.77218) * (VBs * -0.00018542472)) + ((((sqrt(epsilon * (2.3360968 / P_dyn)) - DST) * -0.00012745318) + -0.04008526) * DST)) - ((P_dyn * -0.20187539) + 0.33979976),0.0002643530349474,(((P_dyn - -10.77218) * (VBs * -0.00018542472)) + ((((sqrt(epsilon * (2.3360968 / P_dyn)) - DST) * -0.00012745318) + -0.04008526) * DST)) - ((P_dyn * -0.20187539) + 0.33979976),inf,inf,inf,inf,-inf,-inf,inf,inf,DST*(0.00012745318*DST - 0.00012745318*sqrt(2.3360968*epsilon/P_dyn) - 0.04008526) + 0.20187539*P_dyn - 0.00018542472*VBs*(P_dyn + 10.77218) - 0.33979976
172,30,3.8070848,((((sqrt(P_dyn) - -1.361905) * ((((DST - 15.971101) * 14.480456) + VBs) - DST)) + (sqrt(VBs + (86.81753 - DST)) * DST)) * -0.0009491641) - inv(P_dyn + 1.0119445),0.0002273134640513,((((sqrt(P_dyn) - -1.361905) * ((((DST - 15.971101) * 14.480456) + VBs) - DST)) + (sqrt(VBs + (86.81753 - DST)) * DST)) * -0.0009491641) - inv(P_dyn + 1.0119445),inf,inf,inf,inf,-inf,-inf,inf,inf,-0.0009491641*DST*sqrt(-DST + VBs + 86.81753) - 0.0009491641*(sqrt(P_dyn) + 1.361905)*(13.480456*DST + VBs - 231.268825302056) - 1/(P_dyn + 1.0119445)
173,23,3.8072312,((DST * -0.060222715) - ((((DST - P_dyn) * 0.005632518) + sqrt(P_dyn + square(-1.0824356))) * ((VBs * 0.0013622483) + -1.3371722))) + -2.2817807,5.515817954810991e-07,((DST * -0.060222715) - ((((DST - P_dyn) * 0.005632518) + sqrt(P_dyn + square(-1.0824356))) * ((VBs * 0.0013622483) + -1.3371722))) + -2.2817807,inf,inf,inf,inf,-inf,-inf,inf,inf,-0.060222715*DST - (0.0013622483*VBs - 1.3371722)*(0.005632518*DST - 0.005632518*P_dyn + sqrt(P_dyn + square(-1.0824356))) - 2.2817807
174,22,3.8072333,((DST * -0.060222715) - ((((DST - P_dyn) * 0.005632518) + sqrt(P_dyn + 1.1751064)) * ((VBs * 0.0013622483) + -1.3371722))) + -2.2817807,0.0001536575390792,((DST * -0.060222715) - ((((DST - P_dyn) * 0.005632518) + sqrt(P_dyn + 1.1751064)) * ((VBs * 0.0013622483) + -1.3371722))) + -2.2817807,inf,inf,inf,inf,-inf,-inf,inf,inf,-0.060222715*DST - (0.0013622483*VBs - 1.3371722)*(0.005632518*DST - 0.005632518*P_dyn + sqrt(P_dyn + 1.1751064)) - 2.2817807
175,25,3.80727,(((VBs * -0.001177212) + 0.91016906) * (sqrt(P_dyn) + 0.6683503)) + (square(-0.7838392 - ((DST + ((VBs + DST) * -0.006235687)) * -0.016894126)) + -2.0990684),4.891717407089832e-05,(((VBs * -0.001177212) + 0.91016906) * (sqrt(P_dyn) + 0.6683503)) + (square(-0.7838392 - ((DST + ((VBs + DST) * -0.006235687)) * -0.016894126)) + -2.0990684),inf,inf,inf,inf,-inf,-inf,inf,inf,(0.91016906 - 0.001177212*VBs)*(sqrt(P_dyn) + 0.6683503) + square(0.0167887795181254*DST - 0.000105346481874562*VBs - 0.7838392) - 2.0990684
176,26,3.8073015,(((VBs - ((DST - 6.1791487) / -0.058798596)) * sqrt(P_dyn + sqrt(P_dyn))) - square(P_dyn + (DST * 0.52630365))) / ((DST + DST) + -825.67914),1.8096643140137264e-05,(((VBs - ((DST - 6.1791487) / -0.058798596)) * sqrt(P_dyn + sqrt(P_dyn))) - square(P_dyn + (DST * 0.52630365))) / ((DST + DST) + -825.67914),inf,inf,inf,inf,-inf,-inf,inf,inf,((17.0072088115845*DST + VBs - 105.090072218731)*sqrt(P_dyn + sqrt(P_dyn)) - square(0.52630365*DST + P_dyn))/(2*DST - 825.67914)
