complexity,loss,equation,score,sympy_format,lambda_format,simulation
28,3.7939003,(square((-0.015411367 * DST) + 1.1170775) + (((VBs * -0.0010719849) + 0.86271703) * (sqrt(P_dyn) + inv(square(square(square(square(DST * -0.01072127))) + 1.136771))))) - 2.7731056,0.0001860972204289,(square((-0.015411367 * DST) + 1.1170775) + (((VBs * -0.0010719849) + 0.86271703) * (sqrt(P_dyn) + inv(square(square(square(square(DST * -0.01072127))) + 1.136771))))) - 2.7731056,PySRFunction(X=>(square((-0.015411367 * DST) + 1.1170775) + (((VBs * -0.0010719849) + 0.86271703) * (sqrt(P_dyn) + inv(square(square(square(square(DST * -0.01072127))) + 1.136771))))) - 2.7731056),31
23,3.793918,(sqrt(sqrt(P_dyn)) * (((DST + (VBs * ((DST * (0.00068898086 / (P_dyn - -1.0403622))) + 0.0536481))) * -0.04301991) + 1.2850267)) + -1.2944632,0.0011862221823139,(sqrt(sqrt(P_dyn)) * (((DST + (VBs * ((DST * (0.00068898086 / (P_dyn - -1.0403622))) + 0.0536481))) * -0.04301991) + 1.2850267)) + -1.2944632,PySRFunction(X=>(sqrt(sqrt(P_dyn)) * (((DST + (VBs * ((DST * (0.00068898086 / (P_dyn - -1.0403622))) + 0.0536481))) * -0.04301991) + 1.2850267)) + -1.2944632),49
25,3.7943401,((DST - P_dyn) + ((square(P_dyn) + VBs) / (square(square(DST / square(P_dyn - -5.2597647))) + 21.536577))) / (-22.250631 / sqrt(sqrt(P_dyn))),0.000480969287524,((DST - P_dyn) + ((square(P_dyn) + VBs) / (square(square(DST / square(P_dyn - -5.2597647))) + 21.536577))) / (-22.250631 / sqrt(sqrt(P_dyn))),PySRFunction(X=>((DST - P_dyn) + ((square(P_dyn) + VBs) / (square(square(DST / square(P_dyn - -5.2597647))) + 21.536577))) / (-22.250631 / sqrt(sqrt(P_dyn)))),36
25,3.7944825,(sqrt(sqrt(P_dyn)) * (((-0.0022168825 - (DST * (2.4602905e-5 / (P_dyn + 0.9002948)))) * (VBs - DST)) + ((DST * -0.044837166) - -1.064033))) + -1.080887,0.0001137706871407,(sqrt(sqrt(P_dyn)) * (((-0.0022168825 - (DST * (2.4602905e-5 / (P_dyn + 0.9002948)))) * (VBs - DST)) + ((DST * -0.044837166) - -1.064033))) + -1.080887,PySRFunction(X=>(sqrt(sqrt(P_dyn)) * (((-0.0022168825 - (DST * (2.4602905e-5 / (P_dyn + 0.9002948)))) * (VBs - DST)) + ((DST * -0.044837166) - -1.064033))) + -1.080887),30
27,3.7946064,(square((-0.015411367 * DST) + 1.1170775) + (((VBs * -0.0010719849) + 0.86271703) * (sqrt(P_dyn) + inv(square(square(square(DST * -0.01072127)) + 1.136771))))) - 2.7731056,0.0004674227621973,(square((-0.015411367 * DST) + 1.1170775) + (((VBs * -0.0010719849) + 0.86271703) * (sqrt(P_dyn) + inv(square(square(square(DST * -0.01072127)) + 1.136771))))) - 2.7731056,PySRFunction(X=>(square((-0.015411367 * DST) + 1.1170775) + (((VBs * -0.0010719849) + 0.86271703) * (sqrt(P_dyn) + inv(square(square(square(DST * -0.01072127)) + 1.136771))))) - 2.7731056),31
30,3.7947671,(((DST - sqrt(P_dyn)) * (((1.5094055 * (VBs - DST)) / (234.79309 + square(P_dyn / 0.20435657))) + 20.743132)) + (VBs - DST)) / neg(446.0412 / sqrt(sqrt(P_dyn))),5.080422593287059e-05,(((DST - sqrt(P_dyn)) * (((1.5094055 * (VBs - DST)) / (234.79309 + square(P_dyn / 0.20435657))) + 20.743132)) + (VBs - DST)) / neg(446.0412 / sqrt(sqrt(P_dyn))),PySRFunction(X=>(((DST - sqrt(P_dyn)) * (((1.5094055 * (VBs - DST)) / (234.79309 + square(P_dyn / 0.20435657))) + 20.743132)) + (VBs - DST)) / neg(446.0412 / sqrt(sqrt(P_dyn)))),56
26,3.7948437,(sqrt(sqrt(P_dyn)) * (((((0.94802135 - ((DST * -0.0120122535) / (P_dyn + sqrt(1.1437205)))) * VBs) - (DST / -0.05494293)) * -0.0024322362) + 0.9129861)) - 0.9129861,1.8446080809903225e-07,(sqrt(sqrt(P_dyn)) * (((((0.94802135 - ((DST * -0.0120122535) / (P_dyn + sqrt(1.1437205)))) * VBs) - (DST / -0.05494293)) * -0.0024322362) + 0.9129861)) - 0.9129861,PySRFunction(X=>(sqrt(sqrt(P_dyn)) * (((((0.94802135 - ((DST * -0.0120122535) / (P_dyn + sqrt(1.1437205)))) * VBs) - (DST / -0.05494293)) * -0.0024322362) + 0.9129861)) - 0.9129861),52
25,3.7948444,(sqrt(sqrt(P_dyn)) * (((((0.94802135 - ((DST * -0.0120122535) / (P_dyn + 1.1088829))) * VBs) - (DST / -0.05494293)) * -0.0024322362) + 0.9129861)) - 0.9129861,0.0005408362969725,(sqrt(sqrt(P_dyn)) * (((((0.94802135 - ((DST * -0.0120122535) / (P_dyn + 1.1088829))) * VBs) - (DST / -0.05494293)) * -0.0024322362) + 0.9129861)) - 0.9129861,PySRFunction(X=>(sqrt(sqrt(P_dyn)) * (((((0.94802135 - ((DST * -0.0120122535) / (P_dyn + 1.1088829))) * VBs) - (DST / -0.05494293)) * -0.0024322362) + 0.9129861)) - 0.9129861),52
28,3.7951527,(((DST - sqrt(P_dyn)) * ((1.5094055 * (VBs / (234.79309 + square(P_dyn / -0.20397943)))) + 20.743132)) + (VBs - DST)) / (446.0412 / neg(sqrt(sqrt(P_dyn)))),0.0001599280743363,(((DST - sqrt(P_dyn)) * ((1.5094055 * (VBs / (234.79309 + square(P_dyn / -0.20397943)))) + 20.743132)) + (VBs - DST)) / (446.0412 / neg(sqrt(sqrt(P_dyn)))),PySRFunction(X=>(((DST - sqrt(P_dyn)) * ((1.5094055 * (VBs / (234.79309 + square(P_dyn / -0.20397943)))) + 20.743132)) + (VBs - DST)) / (446.0412 / neg(sqrt(sqrt(P_dyn))))),56
25,3.7953115,(sqrt(sqrt(P_dyn)) * (((((((DST * -0.0005291182) / (P_dyn + 0.94264424)) + -0.047621425) * (VBs - DST)) - DST) * 0.046487417) + 0.95887244)) + -1.0103006,0.0002934602569274,(sqrt(sqrt(P_dyn)) * (((((((DST * -0.0005291182) / (P_dyn + 0.94264424)) + -0.047621425) * (VBs - DST)) - DST) * 0.046487417) + 0.95887244)) + -1.0103006,PySRFunction(X=>(sqrt(sqrt(P_dyn)) * (((((((DST * -0.0005291182) / (P_dyn + 0.94264424)) + -0.047621425) * (VBs - DST)) - DST) * 0.046487417) + 0.95887244)) + -1.0103006),40
