complexity,loss,equation,score,sympy_format,lambda_format,simulation,TEST_RMSE,TEST_MAE,TEST_R2,TEST_CC,TEST_BFE
25,3.817178,(Np * 0.118559994) - ((((Bzsouth + 1.1655784) + (Bzsouth * (Np * (Vp * 0.0001211698)))) * ((Vp + DST) * 0.001796062)) + (DST * 0.064468324)),0.0003339048686429,(Np * 0.118559994) - ((((Bzsouth + 1.1655784) + (Bzsouth * (Np * (Vp * 0.0001211698)))) * ((Vp + DST) * 0.001796062)) + (DST * 0.064468324)),PySRFunction(X=>(Np * 0.118559994) - ((((Bzsouth + 1.1655784) + (Bzsouth * (Np * (Vp * 0.0001211698)))) * ((Vp + DST) * 0.001796062)) + (DST * 0.064468324))),10,16.353176519333445,12.48648099375564,0.7332664765965682,0.9122445777206165,19.873213077500886
26,3.790871,(((((((Vp - Np) - 160.32938) * Bzsouth) * 0.0013246149) - 0.80793333) * ((DST * -0.00731337) - (sqrt(Np) + 0.65606064))) + (DST * -0.06632254)) + -2.468984,0.0001076549590332,(((((((Vp - Np) - 160.32938) * Bzsouth) * 0.0013246149) - 0.80793333) * ((DST * -0.00731337) - (sqrt(Np) + 0.65606064))) + (DST * -0.06632254)) + -2.468984,PySRFunction(X=>(((((((Vp - Np) - 160.32938) * Bzsouth) * 0.0013246149) - 0.80793333) * ((DST * -0.00731337) - (sqrt(Np) + 0.65606064))) + (DST * -0.06632254)) + -2.468984),4,16.37446574959307,12.947623698306606,0.6988527371401344,0.9081170586511698,18.805556218298907
28,3.7896347,(DST * -0.06690711) + (((((DST + Bzsouth) * -0.008006787) + (-0.6224202 - sqrt(Np))) * (((((Vp - Np) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405)) + -2.5525913),0.0001630893847835,(DST * -0.06690711) + (((((DST + Bzsouth) * -0.008006787) + (-0.6224202 - sqrt(Np))) * (((((Vp - Np) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405)) + -2.5525913),PySRFunction(X=>(DST * -0.06690711) + (((((DST + Bzsouth) * -0.008006787) + (-0.6224202 - sqrt(Np))) * (((((Vp - Np) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405)) + -2.5525913)),4,16.421540858763294,13.076889558509677,0.6915898181016269,0.9071026840300126,18.563915989929733
18,3.845901,((((Vp + ((4.3979464 - sqrt(Np)) * DST)) * 0.058947966) * Bzsouth) + (DST - Np)) / -18.773348,0.0008267035768199,((((Vp + ((4.3979464 - sqrt(Np)) * DST)) * 0.058947966) * Bzsouth) + (DST - Np)) / -18.773348,PySRFunction(X=>((((Vp + ((4.3979464 - sqrt(Np)) * DST)) * 0.058947966) * Bzsouth) + (DST - Np)) / -18.773348),15,16.500201856325567,12.286380466758708,0.7372822075135607,0.9049364827096975,18.895713264073358
30,3.8131783,((Np + (((-0.01635466 - ((Bzsouth * sqrt(Np - -2.2383354)) * 0.0065067657)) / inv(Vp + (DST * 0.64251864))) - (DST * 0.44418103))) + Bzsouth) / (inv(Bmag) + 6.75624),0.0001238839194744,((Np + (((-0.01635466 - ((Bzsouth * sqrt(Np - -2.2383354)) * 0.0065067657)) / inv(Vp + (DST * 0.64251864))) - (DST * 0.44418103))) + Bzsouth) / (inv(Bmag) + 6.75624),PySRFunction(X=>((Np + (((-0.01635466 - ((Bzsouth * sqrt(Np - -2.2383354)) * 0.0065067657)) / inv(Vp + (DST * 0.64251864))) - (DST * 0.44418103))) + Bzsouth) / (inv(Bmag) + 6.75624)),16,16.52453978422463,12.433779695040254,0.7468056690270377,0.9208345593423324,19.681119804831848
20,3.8206317,(DST + (((Vp + (DST * (4.378272 - sqrt(Np)))) * 0.047595844) * Bzsouth)) / ((-57.03848 / Bmag) + -11.17177),0.004625091828088,(DST + (((Vp + (DST * (4.378272 - sqrt(Np)))) * 0.047595844) * Bzsouth)) / ((-57.03848 / Bmag) + -11.17177),PySRFunction(X=>(DST + (((Vp + (DST * (4.378272 - sqrt(Np)))) * 0.047595844) * Bzsouth)) / ((-57.03848 / Bmag) + -11.17177)),15,16.56411403995389,12.182103068693456,0.7397614216406037,0.9060615843500803,19.24699336537443
28,3.8141232,((Bzsouth * 1.1095461) + ((Np - (DST * 0.44418103)) + ((Vp + (DST * 0.59011805)) * (-0.01635466 - (Bzsouth * (sqrt(Np - -2.1480227) * 0.0065067657)))))) / 6.75624,1.4157706150516487e-05,((Bzsouth * 1.1095461) + ((Np - (DST * 0.44418103)) + ((Vp + (DST * 0.59011805)) * (-0.01635466 - (Bzsouth * (sqrt(Np - -2.1480227) * 0.0065067657)))))) / 6.75624,PySRFunction(X=>((Bzsouth * 1.1095461) + ((Np - (DST * 0.44418103)) + ((Vp + (DST * 0.59011805)) * (-0.01635466 - (Bzsouth * (sqrt(Np - -2.1480227) * 0.0065067657)))))) / 6.75624),16,16.701710473717903,12.515854597979846,0.7452467030037683,0.9205075203585299,20.02533584696724
19,3.8381715,((DST - Np) * -0.06564481) - ((Bzsouth - -0.8141953) * ((DST + (Vp + (Bzsouth * Np))) * 0.0020991976)),0.0014665283059455,((DST - Np) * -0.06564481) - ((Bzsouth - -0.8141953) * ((DST + (Vp + (Bzsouth * Np))) * 0.0020991976)),PySRFunction(X=>((DST - Np) * -0.06564481) - ((Bzsouth - -0.8141953) * ((DST + (Vp + (Bzsouth * Np))) * 0.0020991976))),7,16.71051832223827,12.741315299137133,0.7364155145691068,0.9114187008215378,19.652466810760764
26,3.8142312,((((Vp + (DST * 0.5924163)) * (-0.01635466 - ((sqrt(Np - -1.9678924) * Bzsouth) * 0.0065067657))) + (Bzsouth + Np)) - (DST * 0.44105762)) / 6.75624,0.0004084082850494,((((Vp + (DST * 0.5924163)) * (-0.01635466 - ((sqrt(Np - -1.9678924) * Bzsouth) * 0.0065067657))) + (Bzsouth + Np)) - (DST * 0.44105762)) / 6.75624,PySRFunction(X=>((((Vp + (DST * 0.5924163)) * (-0.01635466 - ((sqrt(Np - -1.9678924) * Bzsouth) * 0.0065067657))) + (Bzsouth + Np)) - (DST * 0.44105762)) / 6.75624),16,16.750812862707082,12.556961061276311,0.7451763432592485,0.9208314958248319,20.01735841570167
24,3.817348,((Np - (DST * 0.44223267)) + (((DST * 0.55434597) + Vp) * (-0.016316375 - (Bzsouth * (sqrt(Np - -1.1400765) * 0.0060620885))))) / 6.75624,0.0002893056736882,((Np - (DST * 0.44223267)) + (((DST * 0.55434597) + Vp) * (-0.016316375 - (Bzsouth * (sqrt(Np - -1.1400765) * 0.0060620885))))) / 6.75624,PySRFunction(X=>((Np - (DST * 0.44223267)) + (((DST * 0.55434597) + Vp) * (-0.016316375 - (Bzsouth * (sqrt(Np - -1.1400765) * 0.0060620885))))) / 6.75624),16,16.79813251054257,12.589239076377584,0.7450568280279565,0.9198140588715404,19.957279203312773
20,3.8189206,(((sqrt(Np) * (((DST + Vp) * ((Bzsouth + 0.9207319) * 0.016546512)) + -21.598963)) + DST) * -0.06071589) - 2.2239523,0.0006292843787518,(((sqrt(Np) * (((DST + Vp) * ((Bzsouth + 0.9207319) * 0.016546512)) + -21.598963)) + DST) * -0.06071589) - 2.2239523,PySRFunction(X=>(((sqrt(Np) * (((DST + Vp) * ((Bzsouth + 0.9207319) * 0.016546512)) + -21.598963)) + DST) * -0.06071589) - 2.2239523),6,16.954262693701082,13.318805781989937,0.693551526048218,0.9049387164759899,19.117877143697278
20,3.818307,(sqrt(Np) * ((-0.0010118978 * ((Vp + DST) * (Bzsouth - -1.1060312))) + 1.4209545)) - (2.2338638 + (0.059706226 * DST)),0.0006709989735258,(sqrt(Np) * ((-0.0010118978 * ((Vp + DST) * (Bzsouth - -1.1060312))) + 1.4209545)) - (2.2338638 + (0.059706226 * DST)),PySRFunction(X=>(sqrt(Np) * ((-0.0010118978 * ((Vp + DST) * (Bzsouth - -1.1060312))) + 1.4209545)) - (2.2338638 + (0.059706226 * DST))),11,17.0162606854316,13.3526042075183,0.693224318304001,0.9047590771598403,19.132730152150327
28,3.7942083,(DST + ((Bzsouth + (0.85373884 - (Np / Bmag))) * ((((DST / 1.0637239) * (4.3335886 - sqrt(Np))) + Vp) * 0.044779934))) / (-10.605545 - (54.477882 / Bmag)),0.0001030411831319,(DST + ((Bzsouth + (0.85373884 - (Np / Bmag))) * ((((DST / 1.0637239) * (4.3335886 - sqrt(Np))) + Vp) * 0.044779934))) / (-10.605545 - (54.477882 / Bmag)),PySRFunction(X=>(DST + ((Bzsouth + (0.85373884 - (Np / Bmag))) * ((((DST / 1.0637239) * (4.3335886 - sqrt(Np))) + Vp) * 0.044779934))) / (-10.605545 - (54.477882 / Bmag))),15,17.042476907273084,12.843213651065167,0.7027379862444678,0.9118170996158426,19.037477674247757
