complexity,loss,equation,score,sympy_format,lambda_format,simulation
25,3.8028028,((((((0.0009415376 / (-1.3535208 - Np)) * DST) - 0.052350152) * Bzsouth) * Vp) - (DST - Np)) / (54.41149 / sqrt(sqrt(Bmag * Np))),0.0011124270138132,((((((0.0009415376 / (-1.3535208 - Np)) * DST) - 0.052350152) * Bzsouth) * Vp) - (DST - Np)) / (54.41149 / sqrt(sqrt(Bmag * Np))),PySRFunction(X=>((((((0.0009415376 / (-1.3535208 - Np)) * DST) - 0.052350152) * Bzsouth) * Vp) - (DST - Np)) / (54.41149 / sqrt(sqrt(Bmag * Np)))),2
26,3.80292,(((Bzsouth - (DST * -0.029265162)) - -1.1745048) * ((((DST / 0.80374527) + (sqrt(sqrt(Np)) * Vp)) * -0.0027239453) + -0.24573871)) + (Bzsouth + sqrt(Np)),0.0001449071077764,(((Bzsouth - (DST * -0.029265162)) - -1.1745048) * ((((DST / 0.80374527) + (sqrt(sqrt(Np)) * Vp)) * -0.0027239453) + -0.24573871)) + (Bzsouth + sqrt(Np)),PySRFunction(X=>(((Bzsouth - (DST * -0.029265162)) - -1.1745048) * ((((DST / 0.80374527) + (sqrt(sqrt(Np)) * Vp)) * -0.0027239453) + -0.24573871)) + (Bzsouth + sqrt(Np))),13
28,3.80297,(DST * -0.064616404) - ((((DST + ((Np + Vp) * sqrt(sqrt(Np)))) * 0.0024087143) * (Bzsouth + 0.4273629)) - ((sqrt(Np) + -1.8449583) + (Bzsouth / 1.6374866))),0.0004688130633409,(DST * -0.064616404) - ((((DST + ((Np + Vp) * sqrt(sqrt(Np)))) * 0.0024087143) * (Bzsouth + 0.4273629)) - ((sqrt(Np) + -1.8449583) + (Bzsouth / 1.6374866))),PySRFunction(X=>(DST * -0.064616404) - ((((DST + ((Np + Vp) * sqrt(sqrt(Np)))) * 0.0024087143) * (Bzsouth + 0.4273629)) - ((sqrt(Np) + -1.8449583) + (Bzsouth / 1.6374866)))),9
24,3.803444,sqrt(Np) + ((-2.5109081 - (DST / 15.338169)) + ((Bzsouth * (((DST / 0.80311114) + (sqrt(sqrt(Np)) * Vp)) + -251.51936)) * -0.0025929885)),0.0002683031889028,sqrt(Np) + ((-2.5109081 - (DST / 15.338169)) + ((Bzsouth * (((DST / 0.80311114) + (sqrt(sqrt(Np)) * Vp)) + -251.51936)) * -0.0025929885)),PySRFunction(X=>sqrt(Np) + ((-2.5109081 - (DST / 15.338169)) + ((Bzsouth * (((DST / 0.80311114) + (sqrt(sqrt(Np)) * Vp)) + -251.51936)) * -0.0025929885))),3
28,3.803607,(Np * 0.13241021) - ((((((DST * 0.751603) + Vp) * -0.010745671) * ((Bzsouth + (sqrt(Np) * Bzsouth)) + 3.30009)) - DST) * ((0.14686304 / Bmag) + -0.08236732)),0.0002497268393607,(Np * 0.13241021) - ((((((DST * 0.751603) + Vp) * -0.010745671) * ((Bzsouth + (sqrt(Np) * Bzsouth)) + 3.30009)) - DST) * ((0.14686304 / Bmag) + -0.08236732)),PySRFunction(X=>(Np * 0.13241021) - ((((((DST * 0.751603) + Vp) * -0.010745671) * ((Bzsouth + (sqrt(Np) * Bzsouth)) + 3.30009)) - DST) * ((0.14686304 / Bmag) + -0.08236732))),1
27,3.8037744,(Np * 0.120446585) - (((((Bzsouth + 1.2775543) + ((((Np + (DST * 0.03913002)) * Bzsouth) * Vp) * 0.00012573834)) * Vp) * 0.0017270576) + (DST * 0.066715226)),0.0017587846133973,(Np * 0.120446585) - (((((Bzsouth + 1.2775543) + ((((Np + (DST * 0.03913002)) * Bzsouth) * Vp) * 0.00012573834)) * Vp) * 0.0017270576) + (DST * 0.066715226)),PySRFunction(X=>(Np * 0.120446585) - (((((Bzsouth + 1.2775543) + ((((Np + (DST * 0.03913002)) * Bzsouth) * Vp) * 0.00012573834)) * Vp) * 0.0017270576) + (DST * 0.066715226))),10
27,3.803832,(((Vp - ((DST * -3.3773615) / sqrt(Np))) * ((Bzsouth * -0.0009008908) * sqrt(sqrt(Bzsouth) + Np))) + sqrt(Np)) - ((DST * 0.059813313) - -2.40653),0.0009301026332216,(((Vp - ((DST * -3.3773615) / sqrt(Np))) * ((Bzsouth * -0.0009008908) * sqrt(sqrt(Bzsouth) + Np))) + sqrt(Np)) - ((DST * 0.059813313) - -2.40653),PySRFunction(X=>(((Vp - ((DST * -3.3773615) / sqrt(Np))) * ((Bzsouth * -0.0009008908) * sqrt(sqrt(Bzsouth) + Np))) + sqrt(Np)) - ((DST * 0.059813313) - -2.40653)),11
30,3.8038595,((DST - (Np * 1.8461952)) * -0.057646163) + ((Bzsouth - -0.64244246) * (-0.0024093296 * ((sqrt(Bmag / Np) * DST) + (Vp + ((Np + 0.86304104) * (-1.671706 + Bzsouth)))))),8.309635695075422e-05,((DST - (Np * 1.8461952)) * -0.057646163) + ((Bzsouth - -0.64244246) * (-0.0024093296 * ((sqrt(Bmag / Np) * DST) + (Vp + ((Np + 0.86304104) * (-1.671706 + Bzsouth)))))),PySRFunction(X=>((DST - (Np * 1.8461952)) * -0.057646163) + ((Bzsouth - -0.64244246) * (-0.0024093296 * ((sqrt(Bmag / Np) * DST) + (Vp + ((Np + 0.86304104) * (-1.671706 + Bzsouth))))))),8
24,3.8040223,((((Bzsouth - (DST * -0.029268567)) - -1.1798674) * (((DST + (sqrt(sqrt(Np)) * Vp)) * -0.00265995) + -0.2598647)) + sqrt(Np)) + Bzsouth,0.0005147687063255,((((Bzsouth - (DST * -0.029268567)) - -1.1798674) * (((DST + (sqrt(sqrt(Np)) * Vp)) * -0.00265995) + -0.2598647)) + sqrt(Np)) + Bzsouth,PySRFunction(X=>((((Bzsouth - (DST * -0.029268567)) - -1.1798674) * (((DST + (sqrt(sqrt(Np)) * Vp)) * -0.00265995) + -0.2598647)) + sqrt(Np)) + Bzsouth),13
30,3.8041306,((((Vp + (((DST + (Vp * 0.011505068)) / sqrt(Np / Bmag)) + (Np * Bzsouth))) * ((Bzsouth + 0.6831873) * 0.040499095)) + DST) - (Np + Np)) * -0.05831824,7.055239690763662e-05,((((Vp + (((DST + (Vp * 0.011505068)) / sqrt(Np / Bmag)) + (Np * Bzsouth))) * ((Bzsouth + 0.6831873) * 0.040499095)) + DST) - (Np + Np)) * -0.05831824,PySRFunction(X=>((((Vp + (((DST + (Vp * 0.011505068)) / sqrt(Np / Bmag)) + (Np * Bzsouth))) * ((Bzsouth + 0.6831873) * 0.040499095)) + DST) - (Np + Np)) * -0.05831824),6
