Timestamp,Observed_DST,Real_dDST_dt,Pred_DST_Equation_1,Pred_dDST_dt_Equation_1,Pred_DST_Equation_2,Pred_dDST_dt_Equation_2,Pred_DST_Equation_3,Pred_dDST_dt_Equation_3,Pred_DST_Equation_4,Pred_dDST_dt_Equation_4
2016-10-12 18:00:00,-9.0,-3.0,-0.9972301196420609,-0.11780835130179222,2.8077896423332476,-0.15140953032600635,2.4996440158456465,-0.05585553452820036,1.7900402194147207,-0.06953373760249287
2016-10-12 19:00:00,-12.0,-1.0,-1.4139308467713851,-0.4167007271293243,2.2745367722875716,-0.533252870045676,2.1566705858777175,-0.3429734299679291,1.4310323354305863,-0.3590078839841344
2016-10-12 20:00:00,-13.0,3.0,-1.3249380326540738,0.08899281411731125,2.393873313325797,0.11933654103822564,2.2968029809047796,0.140132395027062,1.559794664822614,0.1287623293920277
2016-10-12 21:00:00,-10.0,16.0,-1.0765849298208745,0.2483531028331993,2.7144236565203577,0.32055034319456066,2.5881111418619276,0.291308160957148,1.8413749543771742,0.2815802895545603
2016-10-12 22:00:00,6.0,10.0,-0.8333265058626667,0.24325842395820785,3.0285049231006287,0.31408126658027086,2.87365546530733,0.28554432344540204,2.11730622241367,0.2759312680364954
2016-10-12 23:00:00,16.0,0.0,-0.5950085154349122,0.23831799042775448,3.336311627538874,0.3078067044382452,3.1536058897564048,0.27995042444907486,2.3877573282875764,0.2704511058739067
2016-10-13 00:00:00,16.0,-4.0,-0.36148284988750196,0.23352566554741022,3.638030544513286,0.30171891697441217,3.428125722350825,0.2745198325944202,2.6528904515440437,0.2651331232564673
2016-10-13 01:00:00,12.0,9.0,-0.13260723616393735,0.2288756137235646,3.9338410908122734,0.2958105462989875,3.697371959802908,0.2692462374520827,2.912861419613781,0.25997096806973746
2016-10-13 02:00:00,21.0,-5.0,0.09175504679561516,0.22436228295955252,4.223915684811129,0.290074593998855,3.9614955908503764,0.26412363104746867,3.167820016375108,0.25495859676132687
2016-10-13 03:00:00,16.0,-5.0,-1.464623433942354,-1.5563784807379692,2.8171780292132627,-1.406737655597866,2.5958446267486117,-1.3656509641017647,1.7683199509516005,-1.3995000654235072
